	상담사답변
4004	네, 신용카드가 아니라 카드통장이므로 직접 방문해 주셔야 가능합니다.
4007	네, 신분증만 가지고 오시면 됩니다.
4009	네, 서명 거래 하시면 됩니다.
4011	네, 즉시 발급 처리해 드립니다.
4014	네, 계좌 여러 개를 하나의 카드 통장안에 담으실 수 있습니다.
4017	네, 가능합니다.
4019	바로 출금은 안됩니다.
4021	수표 입금후 처리시간이 필요해서입니다.
4023	다음 영업일에 ATM에서 출금 가능하고, 이체의 경우에는 즉시 가능합니다.
4025	그런 경우에는 부득이하게 창구로 오셔야 합니다.
4027	네 맞습니다. 고객님.
4030	늦어도 4시까지 오셔야 합니다.
4032	처리 시간이 있어서 4시까지 영업점에 오셔야 합니다.
4037	도와드리겠습니다.
4041	동전 입금은 창구에서 가능합니다. 영업점마다 취급하는 요일이 다를 수 있으니, 미리 확인하고 방문하시는 것이 좋습니다.
4043	고객님, 입금하신 돈은 30분이 지나야 ATM에서 출금이 가능합니다.
4045	창구에서 동전을 입금하게 되시면, 창구에서 바로 출금하시면 됩니다.
4051	영업점마다 다른데, 대부분 고객용으로 동전분리기가 설치되어 있진 않습니다.
4053	미리 세어서 오시면 좋지만, 안되시면 은행 내부 동전분리기로 세어서 처리해 드립니다.
4057	네, 카드 없이도 출금하는 방법이 있습니다.
4059	ATM에서 무카드서비스를 통해 출금하실 수 있습니다.
4062	그러면 한번만 영업점에 방문하셔서 등록해 주시면 됩니다.
4064	최대 100만원까지 가능합니다
4070	그러면 스마트폰 앱 내의 무카드 출금 서비스를 선택하시면, 자동으로 비밀번호가 생성됩니다. 
4072	네 그렇습니다.
4074	그러시려면 손바닥 인증 메뉴를 등록해 두셔야 하고 손바닥 인증 ATM기에서만 가능하십니다.
4076	그런 경우에는 1일 총 600만원까지 출금 가능합니다.
4084	아닙니다. 인터넷 뱅킹에서 계좌관리로 가셔서 출금도 가능하게 등록하시면 됩니다.
4086	네 그렇습니다.
4088	네, 그렇게 하고 나서 주로 사용하시는 계좌로 이체 하신 후,  출금하실 것을 권장합니다.
4092	휴면을 풀어 주셔야 하는데, 영업점에 오셔야 가능합니다.
4094	고객님께서 오랫동안 사용하지 않으시면 안전을 위해 휴면으로 전환됩니다.
4096	네, 휴면계좌 및 잔액계좌들을 정리하시고 출금하시려면 한번 영업점에 방문해 주시는 것이 좋겠습니다.
4100	그러시면 즉시결제 서비스를 이용해 주시면 됩니다.
4104	그럼 우선 스마트폰에 당사 카드앱을 다운 받아 주세요.
4106	본인 인증 절차에 따라 인증하신 후, 간편비밀번호 등록이나 지문등록을 통해 빠르게 로그인 하실 수 있습니다.
4108	네 그렇습니다. 즉시결제에 가서 원하는 금액만큼 선결제를 하시면 됩니다.
4110	자동이체 등록 계좌로 출금됩니다.
4113	그런 경우에는 즉시결제 메뉴에서 타은행결제를 선택하신 후 급여통장의 계좌번호를 넣어주시고 비밀번호로 인증하시면 됩니다.
4115	네, 도움되셨길 바랍니다. 
4121	토스에서 출금하시려면 은행계좌에 있는 돈을 토스머니로 우선 충전시키셔야 합니다.
4123	토스머니에서 충전을 선택하시면 연결계좌에서 자동으로 돈이 충전됩니다.
4125	네, 편의점 ATM기기에서 출금하실 수 있습니다.
4127	토스머니에서 출금을 선택하시면 비밀번호 생성메뉴가 뜹니다.
4129	네, 그렇습니다. 앱에서 생성된 1회용 비밀번호를 ATM에 입력하시면 출금승인이 됩니다.
4132	아니요, 안되는 기기가 있을 수 있습니다.
4134	스마트폰 오픈뱅킹앱에서 검색하시면 근처에 되는 기기를 안내받으실 수 있습니다.
4144	인터넷 뱅킹에서 자녀분에게 이체하신 후, 자녀분이 출금하시는 방법이 있습니다.
4146	그러면 위임장을 작성하시고, 병원에 입원에 계신 내용을 함께 첨부하시어 방문해 주시기 바랍니다.
4148	네, 그렇게 하시면 자녀분이 위임받으셔서 출금 가능합니다.
4151	인터넷 뱅킹 신청은 본인만 가능합니다.
4154	네, 카드 신청도 본인만 가능합니다.
4158	네, 통장으로도 출금하실 수 있습니다.
4160	창구에서도 가능하고, ATM기기에서도 가능합니다.
4162	네, 창구에 오시면 현금카드 재발급 바로 가능합니다.
4167	네, 가능합니다. 분실신고 접수메뉴를 안내해 드리겠습니다.
4171	만약, 통장도 분실하셨을 경우에는 창구에 가셔서 통장 및 카드 재발급을 동시에 진행하실 수 있습니다.
4174	신분증만 지참하고 오시면 됩니다.
4178	아닙니다. 매월 500원이 부과됩니다.
4180	로얄등급 회원부터는 무료로 문자서비스가 제공됩니다.
4182	그러면 무료로 문자 입출금 서비스를 받으실 수 있습니다.
4184	인터넷 뱅킹, 스마트폰 뱅킹에서 간편하게 신청하실 수 있습니다.
4186	검색창에 문자서비스를 치시면 해당 메뉴로 이동됩니다.
4190	본인 인증 서비스를 받아야 해서 본인명의만 가능합니다.
4192	본인 명의 휴대폰을 사용하지 않는 경우에는 영업점에 방문하셔서 번호 인증을 받으신 후 등록해 드립니다.
4194	네 본인 소유 입출금계좌는 모두 입출금 문자서비스를 제공받으실 수 있습니다.
4197	외화통장에서는 해당 외화로 출금가능합니다.
4201	외화를 인출하시면 원화로 환산되어서 출금됩니다.
4203	이체하는 경우에도 원화로 환산되어서 이체됩니다.
4207	수수료는 고객님 명의의 당행 계좌로 이체하시는 것이 더 낮으므로, 이체가 유리합니다.
4209	네, 이체의 경우에는 인터넷으로도 가능합니다.
4211	이체 이후 30분이 지나면 출금 가능합니다.
4213	그리고 수수료는 환전 금액에 따라 차등 적용됩니다.
4215	금액이 클수록 수수료율이 낮아집니다.
4219	네, 인터넷 뱅킹에서 환전 가능합니다.
4221	네, 가능합니다.
4223	환전시 고객님이 지정하시는 계좌로 입금됩니다.
4225	인터넷으로 환전하고 ATM에서 출금하신 경우, 환전 후 30분 이후 출금이 가능합니다.
4228	외화입금은 영업점 창구에서만 가능합니다.
4230	고객등급에 따라 최대 90%까지 우대환율이 적용됩니다.
4232	네, 고객님 등급에 따라 자동 적용됩니다. 
4236	영업점 VIP실에서 상담하시면 더 받으실 수도 있습니다.
4238	네 가능합니다
4241	스마트폰 뱅킹 앱 알림을 켜 주셔야 가능합니다.
4245	스마트폰 앱 알림은 앱에서 고객님 계좌 변동이 있을때 알림기능이 오는 것입니다.
4247	네 문자알림은 월 700원의 이용료가 있습니다.
4249	네, 앱에서 알림이 가는 것이므로 수수료가 없습니다.
4252	문자서비스는 가능하고, 스마트폰 앱알림은 그런 설정이 되지 않습니다.
4256	알겠습니다. 고객님. 행복한 하루 되세요.
4258	네, 인터넷뱅킹이나 스마트폰뱅킹에서 대학등록금 납부하실 수 있습니다.
4261	공과금납부 하위 메뉴에 등록금 납부 메뉴가 있습니다.
4263	아니요. 가상계좌번호를 입력하셔야 납부가 가능합니다.
4266	가상계좌번호는 학교에 직접 문의하셔야 합니다.
4271	네, 신용카드로도 납부 가능하십니다.
4274	그럼 뱅킹앱이 아니라, 카드앱을 깔아 주셔야 합니다.
4276	그러면 인터넷으로 카드사 홈페이지에 접속하셔서 처리하실 수도 있습니다.
4278	오픈뱅킹은 다른은행 계좌를 당행 인터넷 뱅킹에서 한번에 관리할 수 있는 편리한 서비스입니다.
4280	타은행 계좌잔액과 거래내역까지 조회하실 수 있습니다.
4282	네, 타은행 계좌이체도 가능합니다. 또한, 당행의 오픈뱅킹에 등록하시면 계좌이체 수수료가 0원입니다.
4284	당행 오픈뱅킹은 현재 월 제한 없이 이체수수료가 무료입니다.
4287	타은행에 흩어져 있는 잔액들을 당행 계좌로 모아서 충전하여 관리할 수 있습니다.
4290	만 14세 이상의 개인, 개인사업자, 개인임의단체면 누구든지 가입 가능합니다.
4292	스마트폰 뱅킹앱에서 오픈뱅킹 메뉴 아래 다른 은행 계좌를 등록후 이용하시면 됩니다.
4294	다른은행 입출금, 예적금, 펀드의 잔액조회는 물론 거래내역, 출금, 당행 상품가입까지 편리하게 이용하실 수 있습니다.
4296	오픈뱅킹 서비스는 연중무휴로 00:05부터 23:55까지 사용가능합니다. 
4302	본 대출은 2년이 최대입니다. 
4304	다른 대출로 전환하실 수 있습니다.
4306	중소기업 청년전세대출이 만기가 되면 버팀목 대출로 갈아타실 수 있습니다.
4308	네, 조금 더 높습니다.
4310	중소기업 청년전세대출은 1%대의 초저금리로 최대 2년까지 혜택을 주는 프로그램이기 때문입니다.
4312	네, 무주택자를 위한 지원프로그램으로, 중소기업 청년전세대출보다는 높지만, 일반 전세자금 대출보다는 금리가 낮습니다.
4315	기존 대출 만기일 전까지면 오셔서 버팀목 대출로 전환해 주시면 됩니다.
4324	그 부분을 클릭하시면 집단중도금 대출가이드를 다운로드 하실 수 있어요.
4326	네 그렇습니다. 분양신청, 대출관련 필요서류를 대출취급 영업점에 제출하시고, 인터넷 집단 중도금대출 신청하시면 됩니다.
4328	해당 영업점에서 심사하여 통과하면 대출실행후 분양대금을 회차별로 입금받게 되십니다.
4330	인터넷 신청 가이드 보신 후에 이해가 잘 안되시면, 영업점에 한번 방문하셔서 직접 상담 받으셔도 됩니다.
4333	아닙니다. 은행영업일 및 휴일에도 7:00부터 24:00까지 가능합니다.
4338	인터넷이나 스마트폰에서 확인 가능하십니다.
4340	대출결과도 인터넷뱅킹과 스마트폰뱅킹에서 확인 가능합니다.
4343	문자로도 안내드리고, 인터넷 및 스마트폰에서도 확인 하실 수 있습니다.
4345	아닙니다. 인터넷으로도 사후서류제출 메뉴를 통하여 제출하시면 됩니다.
4347	고객님께서 본 은행 영업점에서 작성하신 “설정계약서” 등을 대법원 인터넷등기소에 접수하기 위해 공인인증서로 본인임을 확인하는 절차입니다.
4349	아닙니다. 만약에 부동산 소유자가 공동명의인 경우에는 소유자 모두가 전자서명을 하셔야 합니다.
4351	네, 전자서명이 완료되지 않을 경우에는 등기 설정이 불가능하여 대출 실행이 제한될 수 있습니다.
4353	그러면, 배우자정보제공동의 및 세대원정보제공동의를 해 주셔야 합니다.
4355	네 그렇습니다. 인터넷 뱅킹으로 처리하실 수 있습니다.
4360	네, 인터넷, 스마트폰, 영업점 방문 중 한가지 방법을 선택하실 수 있습니다.
4363	대출 메뉴 중 대출금상환 메뉴에서 하시면 됩니다.
4365	상환구분에서 일부상환을 선택하시면 대출금 상환 예상금액이 나옵니다.
4368	예부적금담보대출을 일부 상환하신 경우 담보예부적금계좌의 질권설정금액 감액은 영업점을 통해서만 가능합니다.
4370	원금 잔액에 대해 상환일까지 일할 계산되어 대출금 상환 예상조희에서 확인하실 수 있습니다.
4373	네, 상관 없으세요. 예상액을 조회하는 메뉴입니다.
4375	인터넷 뱅킹에서 처리하시면 바로 확인하실 수 있습니다.
4378	만기일로부터 1개월 이내 대출계좌에 한하여 연장이 가능합니다.
4380	가까운 영업점에서 신청하시거나 인터넷뱅킹에서 신청하실 수 있습니다.
4382	기본적으로 1년 단위 갱신이 가능한 상품은 대출연장이 가능하지만, 최장대출기간에 도래한 상품은 재대출을 받으셔야 합니다.
4384	만기 경과 계좌인 경우 가까운 영업점에서 신청해 주시기 바랍니다.
4386	인터넷이나 스마트폰 뱅킹 접속하시면 대출메뉴에서 확인하실 수 있습니다.
4390	상환금이 남아있으시면 상환하시고 다시 대출신청하시라는 이야기입니다.
4392	자동기한연장이 가능한 대상이시면 가능합니다.
4394	고객님은 자동기한연장이 끝나셔서, 대출금 상환후 다시 신청해 주셔야 합니다.
